Breed,Image URL,Male Avg Weight,Female Avg Weight
Rhodesian Ridgebacks,API Error,85.0,70.0
Rottweilers,API Error,115.0,90.0
Russell Terriers,API Error,12.0,12.0
Russian Toys,API Error,,
Salukis,API Error,52.5,52.5
Samoyeds,API Error,55.0,42.5
Schipperkes,API Error,13.0,13.0
Scottish Deerhounds,API Error,97.5,85.0
Scottish Terriers,API Error,20.5,19.5
Sealyham Terriers,API Error,23.5,
Setters (English),API Error,72.5,50.0
Setters (Gordon),API Error,67.5,57.5
Setters (Irish Red and White),API Error,51.0,42.5
Setters (Irish),API Error,70.0,60.0
Shetland Sheepdogs,API Error,20.0,20.0
Shiba Inu,API Error,23.0,17.0
Shih Tzu,API Error,12.5,12.5
Siberian Huskies,API Error,52.5,42.5
Silky Terriers,API Error,,
Skye Terriers,API Error,40.0,
Sloughis,API Error,42.5,42.5
Soft Coated Wheaten Terriers,API Error,37.5,32.5
Spaniels (American Water),API Error,37.5,32.5
Spaniels (Boykin),API Error,35.0,30.0
Spaniels (Clumber),API Error,77.5,62.5
Spaniels (English Cocker),API Error,31.0,29.0
Spaniels (English Springer),API Error,50.0,40.0
Spaniels (Field),API Error,42.5,42.5
Spaniels (Irish Water),API Error,61.5,51.5
Spaniels (Sussex),API Error,40.0,40.0
Spaniels (Welsh Springer),API Error,47.5,42.5
Spanish Water Dogs,API Error,44.5,35.5
Spinoni Italiani,API Error,,
St. Bernards,API Error,160.0,130.0
Staffordshire Bull Terriers,API Error,33.0,
Standard Schnauzers,API Error,42.5,37.5
Swedish Vallhunds,API Error,27.5,27.5
Tibetan Mastiffs,API Error,120.0,95.0
Tibetan Terriers,API Error,24.0,
Tibetan Spaniel,API Error,12.0,12.0
Toy Fox Terriers,API Error,6.5,6.5
Treeing Walker Coonhounds,API Error,60.0,60.0
Vizslas,API Error,57.5,49.5
Weimaraners,API Error,80.0,65.0
Welsh Terriers,API Error,20.0,
West Highland White Terriers,API Error,17.5,17.5
Whippets,API Error,32.5,32.5
Wirehaired Pointing Griffons,API Error,60.0,42.5
Wirehaired Vizslas,API Error,60.0,50.0
Xoloitzcuintli,API Error,,
Yorkshire Terriers,API Error,7.0,7.0
